doi,title,publication_year,venue,is_open_access,llm_relevance,llm_variant,llm_approach,llm_metaheuristics,llm_is_hybrid,llm_how_solved
,Smooth Operators: Optimising Unsealed Road Grading Programmes Using Arc-Routing Techniques,2025,ResearchSpace (University of Auckland),True,Variante de CARP,Multi-depósito,No especificado,,False,Metodología y herramienta de optimización para programas de nivelado de caminos sin sellar (multi-depósito).
10.1109/tase.2025.3575171,Two-Echelon Arc Routing Problem With Drones in Traffic Patrol,2025,IEEE Transactions on Automation Science and Engineering,False,Variante de CARP,Otra variante,No especificado,,False,Ruteo colaborativo de camiones y drones (two-echelon) para patrullaje de tráfico.
10.1016/j.trpro.2024.12.115,Mixed integer linear programming model for a multi-depot arc routing problem with different arc types and flexible assignment of end depot,2025,Transportation research procedia,True,Variante de CARP,Multi-depósito,Exacto,,False,Modelo MILP para arc routing multi-depósito de barrido de calles con asignación flexible del depósito final.
10.1002/net.70016,Exploring Roadside Management Optimisation Opportunities: A Systematic Review on Arc Routing Problems Applications and Modelling,2025,Networks,True,Arc routing relacionado,Otra variante,Survey / Teórico / Modelado,,False,Revisión sistemática de literatura sobre aplicaciones de arc routing en gestión de bordes de carretera.
,"Wildfire Patrol Routing for Early Detection: Dynamic Periodic Arc Routing Problem with Refill Points, Variable Intervention Times and Relaxed Priority Rule",2025,HAL (Le Centre pour la Communication Scientifique Directe),False,Variante de CARP,Periódico (PCARP),No especificado,,False,Arc routing periódico dinámico con puntos de recarga para detección temprana de incendios (sin abstract detallado).
10.1111/itor.13620,Smart selective navigator (SSN): enhancing urban winter road maintenance through optimized arc routing with hard turn restrictions,2025,International Transactions in Operational Research,True,Variante de CARP,Otra variante,Heurística constructiva,,False,Heurística SSN que incorpora restricciones de giro para mantenimiento vial invernal urbano.
10.1016/j.knosys.2025.113146,A modified single-objective genetic algorithm for solving the rural postman problem with load-dependent costs,2025,Knowledge-Based Systems,True,Arc routing relacionado,No es CARP (RPP/CPP/otro),Metaheurística,Algoritmo genético,False,Algoritmo genético mono-objetivo para el rural postman problem con costos dependientes de la carga.
10.3389/fieng.2025.1620422,Hybrid heuristic approach for generalized police officer patrolling problem,2025,Frontiers in Industrial Engineering,True,Variante de CARP,Multi-objetivo,Híbrido / Matheurística,,True,Enfoque heurístico híbrido para el problema bi-objetivo de patrullaje policial (GPOPP).
,Optimeeritud lumelükkamise marsruutide planeerimine Eesti teedel: masinõppe lähenemisviisid,2025,DSpace repository (University of Tartu),True,Variante de CARP,Otra variante,Aprendizaje / ML,Aprendizaje por refuerzo,True,Compara MILP con aprendizaje supervisado y por refuerzo para el snowplow arc routing (SARP).
10.1109/icnsc66229.2025.00052,FLOAT: Flood-Aware Trajectories for Modeling the Time-Dependent Evacuation Routing with Risk Consideration,2025,,False,Arc routing relacionado,Dinámico / Time-dependent,No especificado,,False,Marco de ruteo dependiente del tiempo consciente de inundaciones para evacuación.
10.1016/j.ejor.2024.09.043,Divide-and-conquer initialization and mutation operators for the large-scale mixed Capacitated Arc Routing Problem,2024,European Journal of Operational Research,True,Variante de CARP,Large-scale,Metaheurística,Algoritmo memético,True,Algoritmo memético con operadores de divide y vencerás para el CARP mixto a gran escala.
10.1002/net.22262,A Polynomial Time Solvable Capacitated Arc Routing Problem on Regular Grid Graphs,2024,Networks,True,CARP núcleo,CARP clásico,Exacto,,False,Caso especial del CARP resoluble en tiempo polinomial sobre grafos de rejilla regulares.
10.1109/mci.2024.3440213,Evaluating Meta-Heuristic Algorithms for Dynamic Capacitated Arc Routing Problems Based on a Novel Lower Bound Method,2024,IEEE Computational Intelligence Magazine,False,Variante de CARP,Dinámico / Time-dependent,Survey / Teórico / Modelado,,False,Método de cota inferior para evaluar en términos absolutos metaheurísticas en el DCARP.
10.1145/3638530.3654192,A Preliminary Counterfactual Explanation Method for Genetic Programming-Evolved Rules: A Case Study on Uncertain Capacitated Arc Routing Problem,2024,Proceedings of the Genetic and Evolutionary Computation Conference Companion,False,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Explicaciones contrafactuales para reglas evolucionadas por programación genética en el UCARP.
10.48550/arxiv.2403.07028,An Efficient Learning-based Solver Comparable to Metaheuristics for the Capacitated Arc Routing Problem,2024,arXiv (Cornell University),True,CARP núcleo,CARP clásico,Aprendizaje / ML,,False,Solver basado en redes neuronales con modelo de atención consciente de dirección para el CARP.
10.48550/arxiv.2406.15416,A novel dual-stage algorithm for capacitated arc routing problems with time-dependent service costs,2024,arXiv (Cornell University),True,Variante de CARP,Dinámico / Time-dependent,Metaheurística,MAENS (memético),True,Algoritmo memético de dos etapas (MAENS-GN) para CARP con costos de servicio dependientes del tiempo.
10.48550/arxiv.2404.10230,Urban Water Sprinkler Routing: A Multi-Depot Mixed Capacitated Arc Routing Problem Incorporating Real-Time Demands,2024,arXiv (Cornell University),True,Variante de CARP,Multi-depósito,Metaheurística,ALNS,False,Búsqueda de vecindario grande adaptativa (ALNS) mejorada para CARP mixto multi-depósito con demandas en tiempo real.
10.3390/su16135660,A Heuristic Procedure for Improving the Routing of Urban Waste Collection Vehicles Using ArcGIS,2024,Sustainability,True,Variante de CARP,CARP clásico,Heurística constructiva,,False,Procedimiento heurístico sobre ArcGIS Network Analyst para recolección de residuos.
10.3390/drones8080373,Drone Arc Routing Problems and Metaheuristic Solution Approach,2024,Drones,True,Variante de CARP,Otra variante,Metaheurística,,False,Enfoque metaheurístico para el drone arc routing problem con demanda de deadheading.
10.1080/01605682.2024.2432605,Adaptive large neighbourhood search for the multi-depot arc routing problem with flexible assignment of end depot and different arc types,2024,Journal of the Operational Research Society,False,Variante de CARP,Multi-depósito,Metaheurística,ALNS,False,Búsqueda de vecindario grande adaptativa para barrido de calles multi-depósito con depósito final flexible.
10.1016/j.cor.2024.106894,The min max multi-trip drone location arc routing problem,2024,Computers & Operations Research,True,Variante de CARP,Min-max / Balanceado,No especificado,,False,Problema min-max de location arc routing con drones multi-viaje (makespan).
10.1109/clei64178.2024.10700162,A Tabu Search Heuristic for the Clustered Prize-Collecting Arc Routing Problem,2024,,False,Variante de CARP,Prize-collecting / Profitable,Metaheurística,Búsqueda tabú,False,Heurística de búsqueda tabú para el clustered prize-collecting arc routing problem.
10.3390/en17051141,Battery Management in Electric Vehicle Routing Problems: A Review,2024,Energies,True,Arc routing relacionado,Green / Eléctrico,Survey / Teórico / Modelado,,False,Revisión del estado del arte en gestión de baterías para problemas de ruteo con vehículos eléctricos.
10.1109/aupec62273.2024.10807514,Integrated Location-Arc Routing Optimization for Waste Logistics with Battery Swapping Stations,2024,,False,Variante de CARP,Green / Eléctrico,Metaheurística,Recocido simulado,False,Recocido simulado modificado para el location-arc routing con estaciones de intercambio de baterías.
10.1109/cis-ram61939.2024.10673198,A Two-stage heuristic framework for location-arc routing optimization for a fleet of street sweepers,2024,,False,Variante de CARP,Otra variante,Heurística constructiva,Iterated local search,False,Marco heurístico de dos etapas con clustering K-medoids y path-scanning para location-arc routing de barredoras.
10.48550/arxiv.2411.02822,Polyhedral study of a temporal rural postman problem: application in inspection of railway track without disturbing train schedules,2024,arXiv (Cornell University),True,Arc routing relacionado,No es CARP (RPP/CPP/otro),Exacto,,False,Estudio poliédrico y formulación para el rural postman con no disponibilidad temporal (inspección ferroviaria).
10.26599/tst.2022.9010052,Exact and Approximation Algorithms for the Multi-Depot Capacitated Arc Routing Problems,2023,Tsinghua Science & Technology,True,Variante de CARP,Multi-depósito,Exacto,,False,Algoritmos exactos y de aproximación con garantías de razón constante para el MCARP.
10.1109/tevc.2023.3238741,Explaining Genetic Programming-Evolved Routing Policies for Uncertain Capacitated Arc Routing Problems,2023,IEEE Transactions on Evolutionary Computation,False,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Enfoque post-hoc para explicar políticas de ruteo evolucionadas por programación genética en el UCARP.
10.1002/net.22159,Solving the time capacitated arc routing problem under fuzzy and stochastic travel and service times,2023,Networks,True,Variante de CARP,Estocástico / Incierto,Híbrido / Matheurística,Simheurística,True,Simheurística difusa para el time CARP con tiempos de viaje y servicio estocásticos y difusos.
10.1145/3583133.3595829,A Novel Generalized Metaheuristic Framework for Dynamic Capacitated Arc Routing Problems,2023,,False,Variante de CARP,Dinámico / Time-dependent,Metaheurística,,False,Marco metaheurístico generalizado para eventos dinámicos genéricos en el DCARP.
10.1109/mci.2023.3304081,RoCaSH2: An Effective Route Clustering and Search Heuristic for Large-Scale Multi-Depot Capacitated Arc Routing Problem,2023,IEEE Computational Intelligence Magazine,False,Variante de CARP,Large-scale,Metaheurística,Divide y vencerás con agrupamiento de rutas,False,Heurística de agrupamiento y búsqueda de rutas (divide y vencerás) para el MDCARP a gran escala.
10.1016/j.ejco.2023.100080,A parameterized lower bounding method for the open capacitated arc routing problem,2023,EURO Journal on Computational Optimization,True,Variante de CARP,Abierto (OCARP),Exacto,,False,Método de cotas inferiores parametrizado para certificar la calidad de heurísticas en el OCARP.
10.1117/12.2684682,A bi-objective mixed capacitated arc routing problem based on epsilon constraint algorithm,2023,,False,Variante de CARP,Multi-objetivo,Exacto,,False,Método epsilon-constraint para un MCARP bi-objetivo de recolección de residuos clasificada.
10.26686/wgtn.24208311,Explainable Genetic Programming for Evolving Routing Policies of Uncertain Capacitated Arc Routing Problems,2023,,True,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Programación genética con métodos intrínsecos y post-hoc para políticas de ruteo interpretables en UCARP.
10.1504/ijor.2023.133741,Hybridised ant colony optimisation for the multi-depot multi-compartment capacitated arc routing problem,2023,International Journal of Operational Research,False,Variante de CARP,Multi-depósito,Híbrido / Matheurística,ACO; Recocido simulado,True,Colonia de hormigas hibridada con recocido simulado para el CARP multi-depósito multi-compartimento.
10.48550/arxiv.2308.15108,The Agricultural Spraying Vehicle Routing Problem With Splittable Edge Demands,2023,arXiv (Cornell University),True,Variante de CARP,Split-delivery,Exacto,,False,Formulaciones MILP con lazy constraints y eliminación de simetría para el CARP con demanda de aristas divisible (SCARP).
10.1016/j.iswa.2023.200300,Learning heuristics for arc routing problems,2023,Intelligent Systems with Applications,True,CARP núcleo,CARP clásico,Aprendizaje / ML,,False,Framework Splice: red neuronal de grafos con aprendizaje Q profundo para aprender heurísticas de construcción del CARP.
10.29121/ijetmr.v10.i8.2023.1602,OPTIMIZED WASTE FOOD MANAGEMENT SYSTEM USING PARASITE ROUTING ALGORITHM FOR EFFICIENT ROUTE SELECTION,2023,International Journal of Engineering Technologies and Management Research,True,Variante de CARP,CARP clásico,Heurística constructiva,,False,Algoritmo heurístico ('parasite routing') para el CARP de recolección de residuos alimentarios con múltiples viajes.
10.47852/bonviewjcce32021985,Machine Learning Applications for Roadway Pavement Deterioration Modeling,2023,Journal of Computational and Cognitive Engineering,True,No relevante,No es CARP (RPP/CPP/otro),Aprendizaje / ML,,False,Modelos de aprendizaje automático para el deterioro de pavimentos (no es un problema de arc routing).
10.1109/mci.2023.3306138,Masthead,2023,IEEE Computational Intelligence Magazine,True,No relevante,No es CARP (RPP/CPP/otro),Survey / Teórico / Modelado,,False,"Masthead editorial de revista, sin contenido técnico."
10.1016/j.eswa.2023.120513,Heuristics for the Profitable Close-Enough Arc Routing Problem,2023,Expert Systems with Applications,True,Variante de CARP,Prize-collecting / Profitable,Metaheurística,VNS,False,Búsqueda de vecindario variable para el profitable close-enough arc routing problem.
10.1007/s10100-023-00892-y,Waste collection routing: a survey on problems and methods,2023,Central European Journal of Operations Research,True,Arc routing relacionado,Otra variante,Survey / Teórico / Modelado,,False,Revisión de literatura sobre problemas y métodos de ruteo para recolección de residuos.
10.5281/zenodo.8076760,Mathematical modeling of a competitive transportation-location arc routing problem,2023,Zenodo (CERN European Organization for Nuclear Research),True,Variante de CARP,Otra variante,Exacto,,False,Modelado matemático de un problema competitivo de transporte-location arc routing (instancias de prueba).
10.1080/21681015.2023.2265925,Municipal solid waste management using multiple disposal location-arc routing and waste segregation approach: a real-life case study in England,2023,Journal of Industrial and Production Engineering,True,Variante de CARP,Otra variante,Exacto,,False,Modelo de location-arc routing con múltiples sitios de disposición y segregación de residuos (caso real en Inglaterra).
10.1002/net.22189,A rolling horizon framework for the time‐dependent multi‐visit dynamic safe street snow plowing problem,2023,Networks,True,Variante de CARP,Dinámico / Time-dependent,Metaheurística,ALNS,False,Búsqueda de vecindario grande adaptativa en horizonte rodante para quitanieves dinámico dependiente del tiempo.
10.1007/s00500-023-08032-z,Solving the hierarchical windy postman problem with variable service costs using a math-heuristic algorithm,2023,Soft Computing,True,Variante de CARP,Windy (WARP),Híbrido / Matheurística,,True,Algoritmo math-heurístico con formulación lineal entera para el hierarchical windy postman con costos de servicio variables.
10.1002/net.22171,"The single robot line coverage problem: Theory, algorithms, and experiments",2023,Networks,True,Arc routing relacionado,No es CARP (RPP/CPP/otro),Exacto,,False,Formulación ILP y algoritmos de aproximación para el line coverage de un robot (relacionado con RPP asimétrico).
10.48550/arxiv.2310.15516,Graph Attention-based Deep Reinforcement Learning for solving the Chinese Postman Problem with Load-dependent costs,2023,arXiv (Cornell University),True,Arc routing relacionado,No es CARP (RPP/CPP/otro),Aprendizaje / ML,,False,Aprendizaje por refuerzo profundo con atención de grafos para el Chinese Postman con costos dependientes de la carga.
10.1088/1757-899x/1294/1/012042,Optimization of the routing problem using the physics-based electromagnetism-like algorithm,2023,IOP Conference Series Materials Science and Engineering,True,Variante de CARP,CARP clásico,Metaheurística,Electromagnetism-like (EM),False,Algoritmo tipo electromagnetismo con búsqueda local para el waste collection arc routing.
10.1109/tevc.2022.3195165,A Multi-Objective Genetic Programming Algorithm With α Dominance and Archive for Uncertain Capacitated Arc Routing Problem,2022,IEEE Transactions on Evolutionary Computation,False,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Programación genética multi-objetivo con α-dominancia y archivo para políticas efectivas y pequeñas en UCARP.
10.1109/tevc.2022.3169289,Knowledge Transfer Genetic Programming With Auxiliary Population for Solving Uncertain Capacitated Arc Routing Problem,2022,IEEE Transactions on Evolutionary Computation,True,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Programación genética con transferencia de conocimiento y población auxiliar para UCARP.
10.3390/math10132205,An Artificial Bee Colony Algorithm for Static and Dynamic Capacitated Arc Routing Problems,2022,Mathematics,True,Variante de CARP,CARP clásico,Metaheurística,Artificial Bee Colony (ABC),False,Algoritmo de colonia de abejas artificiales (con nuevo operador de sub-ruta) para CARP estático y dinámico.
10.1109/tevc.2022.3147509,A Novel Generalized Metaheuristic Framework for Dynamic Capacitated Arc Routing Problems,2022,IEEE Transactions on Evolutionary Computation,True,Variante de CARP,Dinámico / Time-dependent,Metaheurística,,False,Marco metaheurístico generalizado con sistema de simulación para eventos dinámicos en el DCARP.
10.1145/3512290.3528756,What makes the dynamic capacitated Arc routing problem hard to solve,2022,Proceedings of the Genetic and Evolutionary Computation Conference,True,Variante de CARP,Dinámico / Time-dependent,Survey / Teórico / Modelado,Búsqueda local híbrida (HyLS),False,"Análisis del paisaje de aptitud para entender qué eventos dinámicos hacen difícil al DCARP, con un algoritmo de búsqueda local híbrida."
10.1080/19427867.2022.2148368,Lagrangian relaxation-based decomposition approaches for the capacitated arc routing problem in the state-space-time network,2022,Transportation Letters,False,CARP núcleo,CARP clásico,Exacto,,False,Métodos de descomposición por relajación lagrangiana (y ALR con ADMM) en red espacio-estado-tiempo.
10.3389/fenrg.2022.933705,Route Stability in the Uncertain Capacitated Arc Routing Problem,2022,Frontiers in Energy Research,True,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Programación genética que optimiza costo y estabilidad de rutas en el UCARP (inspección de líneas eléctricas).
10.1145/3512290.3528723,Local ranking explanation for genetic programming evolved routing policies for uncertain capacitated Arc routing problems,2022,Proceedings of the Genetic and Evolutionary Computation Conference,False,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Método de explicación por ranking local (LRE) para políticas de ruteo evolucionadas por GP en UCARP.
10.3389/fpls.2022.963307,Study on path planning of mechanized harvesting of ratoon rice in the first season based on the capacitated arc routing problem model,2022,Frontiers in Plant Science,True,Variante de CARP,CARP clásico,Metaheurística,Algoritmo genético,False,Algoritmo genético para planificación de rutas de cosecha de arroz modelada como CARP.
10.48550/arxiv.2211.12728,Stochastic Capacitated Arc Routing Problem,2022,arXiv (Cornell University),True,Variante de CARP,Estocástico / Incierto,Metaheurística,Algoritmo genético,False,Algoritmo genético que optimiza costo y robustez para el Stochastic CARP (SCARP).
10.48550/arxiv.2211.12728,Stochastic Capacitated Arc Routing Problem,2022,arXiv (Cornell University),True,Variante de CARP,Estocástico / Incierto,Metaheurística,Algoritmo genético,False,Algoritmo genético que optimiza costo y robustez para el Stochastic CARP (SCARP).
10.1109/pais56586.2022.9946880,A partial tours based path-scanning heuristic for the capacitated arc routing problem,2022,,False,CARP núcleo,CARP clásico,Heurística constructiva,,False,Heurística basada en path-scanning con conjunto de 'partial tours' para el CARP.
10.17771/pucrio.acad.61378,THE ELECTRIC TIME-DEPENDENT CAPACITATED ARC ROUTING PROBLEM,2022,,True,Variante de CARP,Green / Eléctrico,No especificado,,False,CARP eléctrico dependiente del tiempo con modelos de consumo energético según velocidad (método no detallado en el abstract).
10.26686/wgtn.20311185,Transfer Optimisation in Genetic Programming for Solving Uncertain Capacitated Arc Routing Problem,2022,,True,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística),False,Optimización por transferencia en programación genética para reutilizar conocimiento en UCARP.
10.1109/ssci51031.2022.10022223,Evolving Robust Solutions to Uncertain Capacitated Arc Routing Problem with Time Window,2022,2022 IEEE Symposium Series on Computational Intelligence (SSCI),False,Variante de CARP,Con ventanas de tiempo (CARPTW),Metaheurística,EDA,False,Algoritmo de estimación de distribución (EDA) para el UCARP con ventana de tiempo bajo cuatro factores inciertos.
10.1109/tcyb.2022.3169210,Learning Heuristics With Different Representations for Stochastic Routing,2022,IEEE Transactions on Cybernetics,False,Variante de CARP,Estocástico / Incierto,Metaheurística,Programación genética (hiper-heurística); Red neuronal,True,Representaciones numéricas (lineal y red neuronal) para hiper-heurísticas en ruteo estocástico y UCARP.
10.1016/j.cor.2022.105934,Arc routing with trip-balancing and attractiveness measures — A waste collection case study,2022,Computers & Operations Research,True,Variante de CARP,Mixto (MCARP),Híbrido / Matheurística,,True,Matheurística de dos fases con GIS para el MCARP de recolección de residuos puerta a puerta con balance de viajes.
10.3389/fphy.2022.835412,A New Cooperative Recourse Strategy for Emergency Material Allocation in Uncertain Environments,2022,Frontiers in Physics,True,Variante de CARP,Estocástico / Incierto,No especificado,,False,Estrategia de recurso cooperativo para asignación de materiales de emergencia modelada como UCARP.
10.48550/arxiv.2211.11816,A GRASPxELS with Depth First Search Split Procedure for the HVRP,2022,arXiv (Cornell University),True,No relevante,No es CARP (RPP/CPP/otro),Metaheurística,GRASP; ELS (evolutionary local search),True,GRASP×ELS con procedimiento split por búsqueda en profundidad para el HVRP (ruteo por nodos).
10.1109/access.2022.3140783,Faster Capacitated Arc Routing: A Sequence-to-Sequence Approach,2022,IEEE Access,True,CARP núcleo,CARP clásico,Aprendizaje / ML,,False,Red neuronal profunda seq2seq entrenada para mapear una instancia CARP directamente a una solución.
10.48550/arxiv.2211.06677,A bi-objective stochastic approach for the stochastic CARP,2022,arXiv (Cornell University),True,Variante de CARP,Estocástico / Incierto,Metaheurística,Algoritmo memético,True,Enfoque estocástico bi-objetivo con algoritmo memético para el Stochastic CARP.
10.1016/j.ifacol.2022.04.007,"Route planning for capacity restricted agents over railway network, without disrupting train schedules",2022,IFAC-PapersOnLine,True,Variante de CARP,Dinámico / Time-dependent,Exacto,,False,Formulación y algoritmo de generación de columnas para el CARP con restricciones temporales por no disponibilidad de arcos (CARP-TU).
10.1109/cec55065.2022.9870399,Benchmarking Dynamic Capacitated Arc Routing Algorithms Using Real-World Traffic Simulation,2022,2022 IEEE Congress on Evolutionary Computation (CEC),True,Variante de CARP,Dinámico / Time-dependent,Survey / Teórico / Modelado,,False,Marco de benchmarking del DCARP basado en simulación de tráfico realista (SUMO).
10.1155/2022/1846681,Multiobjective Multidepot Capacitated Arc Routing Optimization Based on Hybrid Algorithm,2022,Journal of Advanced Transportation,True,Variante de CARP,Multi-depósito,Híbrido / Matheurística,Algoritmo genético,True,Algoritmo híbrido de Dijkstra y algoritmo genético con análisis de clustering para el CARP multi-depósito multi-objetivo.
10.48550/arxiv.2212.02228,First Competitive Ant Colony Scheme for the CARP,2022,arXiv (Cornell University),True,CARP núcleo,CARP clásico,Metaheurística,ACO,False,Esquema de colonia de hormigas acoplado con búsqueda local para instancias grandes del CARP.
10.13031/aim.202200118,Robust Route Planning for Autonomous Vehicles,2022,"2022 Houston, Texas July 17-20, 2022",False,Variante de CARP,Estocástico / Incierto,Exacto,,False,Modelo robusto (linealizado) de CARP para planificación de rutas de vehículos autónomos con distribución de maleza incierta.
10.1002/net.22120,Fast upper and lower bounds for a large‐scale real‐world arc routing problem,2022,Networks,True,Variante de CARP,Large-scale,Exacto,,False,Procedimientos rápidos de cotas superior e inferior para un ARP real a gran escala (>10.000 caminos).
10.1504/ijmheur.2022.127800,Hybrid metaheuristics for the periodic open arc routing problem,2022,International Journal of Metaheuristics,False,Variante de CARP,Periódico (PCARP),Híbrido / Matheurística,Algoritmo genético; ACO,True,"Algoritmo genético híbrido y colonia de hormigas híbrida, ambos con búsqueda local, para el periodic open arc routing (POCARP)."
,"On matchings, T-joins and arc routing problems",2022,Lancaster EPrints (Lancaster University),True,Arc routing relacionado,CARP clásico,Exacto,,False,Uso de matchings y T-joins para calcular cotas inferiores fuertes en ARP explotando la estructura de redes viales.
10.1080/13658816.2022.2045605,Optimizing UAV traffic monitoring routes during rush hours considering spatiotemporal variation of monitoring demand,2022,International Journal of Geographical Information Systems,False,Variante de CARP,Prize-collecting / Profitable,No especificado,,False,Modelo matemático para el team orienteering arc routing con ganancias variables en el tiempo (monitoreo con UAV).
10.3390/s22103702,A Coordinated Vehicle–Drone Arc Routing Approach Based on Improved Adaptive Large Neighborhood Search,2022,Sensors,True,Variante de CARP,Otra variante,Metaheurística,ALNS,False,Búsqueda de vecindario grande adaptativa mejorada (IALNS) para el vehicle-drone arc routing de patrullaje.
10.3390/math10050830,A Heuristic-Based Simulation for an Education Process to Learn about Optimization Applications in Logistics and Transportation,2022,Mathematics,True,No relevante,No es CARP (RPP/CPP/otro),Survey / Teórico / Modelado,,False,"Juego serio de simulación educativo sobre optimización en logística (VRP, ARP, TOP)."
